dataset,attack,row_percent,metric,clean,poisoned_mean,poisoned_std,delta_mean,delta_std,relative_pct,relative_unstable,n_runs
lcld_v2,label-flip,64,mcc,0.15017271488376943,-0.10422986368317307,0.008087456747693358,-0.2544025785669425,0.008087456747693362,-169.40665870217822,False,5
url_unique,x-capgd,1,ce,0.09327701014613272,0.09522969079403078,0.0033878618921286763,0.001952680647898053,0.0033878618921286763,2.093421138648076,False,5
url_unique,x-capgd,1,roc_auc,0.9935303437680046,0.9933510978810576,0.0004613123717339176,-0.0001792458869471103,0.00046131237173391754,-0.018041309766877667,False,5
url_unique,x-capgd,1,accuracy,0.965,0.9692000000000001,0.0016000000000000014,0.004200000000000004,0.0016000000000000012,0.4352331606217621,False,5
url_unique,x-capgd,1,balanced_accuracy,0.9649750336086038,0.9691921131809742,0.0015845834211584244,0.004217079572370519,0.0015845834211584246,0.4370143708900325,False,5
url_unique,x-capgd,1,mcc,0.9299816952293017,0.9383903424911024,0.0032005598944758636,0.008408647261800595,0.0032005598944758636,0.9041734159861404,False,5
url_unique,x-capgd,4,ce,0.09327701014613272,0.09920769288177456,0.00424389015766859,0.005930682735641823,0.00424389015766859,6.35813983140165,False,5
url_unique,x-capgd,4,roc_auc,0.9935303437680046,0.9929053837782472,0.0006320119038548546,-0.0006249599897574454,0.0006320119038548547,-0.06290295949968261,False,5
url_unique,x-capgd,4,accuracy,0.965,0.9663999999999999,0.0018547236990991425,0.0014000000000000013,0.0018547236990991425,0.145077720207254,False,5
url_unique,x-capgd,4,balanced_accuracy,0.9649750336086038,0.9664426093079828,0.0018478502607419775,0.0014675756993789868,0.0018478502607419775,0.15208431806684847,False,5
url_unique,x-capgd,4,mcc,0.9299816952293017,0.9328158180790135,0.003699046672462515,0.00283412284971174,0.003699046672462515,0.30475039070666243,False,5
url_unique,x-capgd,16,ce,0.09327701014613272,0.11021554878613264,0.0034461506690229866,0.016938538639999914,0.003446150669022987,18.159392773699647,False,5
url_unique,x-capgd,16,roc_auc,0.9935303437680046,0.9917074771141413,0.0004917231146327919,-0.001822866653863442,0.0004917231146327919,-0.1834736770041814,False,5
url_unique,x-capgd,16,accuracy,0.965,0.9644,0.0013564659966250547,-0.0006000000000000005,0.0013564659966250547,-0.062176165803108856,False,5
url_unique,x-capgd,16,balanced_accuracy,0.9649750336086038,0.964378080788682,0.001337664901459366,-0.0005969528199219143,0.001337664901459366,-0.06186199633471966,False,5
url_unique,x-capgd,16,mcc,0.9299816952293017,0.9287971650559692,0.0027151219168624115,-0.001184530173332554,0.0027151219168624115,-0.1273713428349242,False,5
url_unique,x-capgd,64,ce,0.09327701014613272,0.14098517387939996,0.020742409506837065,0.04770816373326721,0.02074240950683707,51.146754874030655,False,5
url_unique,x-capgd,64,roc_auc,0.9935303437680046,0.9875096024582293,0.002328554047600499,-0.006020741309775346,0.0023285540476004987,-0.6059947084194165,False,5
url_unique,x-capgd,64,accuracy,0.965,0.9574,0.008428523002282199,-0.007600000000000007,0.008428523002282199,-0.7875647668393789,False,5
url_unique,x-capgd,64,balanced_accuracy,0.9649750336086038,0.9575395301197107,0.008345768186378388,-0.007435503488893191,0.008345768186378388,-0.7705384315579142,False,5
url_unique,x-capgd,64,mcc,0.9299816952293017,0.9150703265070439,0.01659510407861725,-0.014911368722257934,0.01659510407861725,-1.603404539976596,False,5
url_unique,label-flip,1,ce,0.09327701014613272,0.11620661126507606,0.0027236556118696376,0.022929601118943328,0.0027236556118696376,24.582264250344856,False,5
url_unique,label-flip,1,roc_auc,0.9935303437680046,0.9909376800460917,0.0006209197789695442,-0.002592663721912869,0.0006209197789695442,-0.2609546591279825,False,5
url_unique,label-flip,1,accuracy,0.965,0.9586,0.0021540659228538035,-0.0064000000000000055,0.0021540659228538035,-0.6632124352331612,False,5
url_unique,label-flip,1,balanced_accuracy,0.9649750336086038,0.9585925997055245,0.0022151867300891394,-0.006382433903079221,0.0022151867300891394,-0.6614092262274996,False,5
url_unique,label-flip,1,mcc,0.9299816952293017,0.9172217222685075,0.0043100840424263355,-0.012759972960794208,0.0043100840424263355,-1.3720671090895002,False,5
url_unique,label-flip,4,ce,0.09327701014613272,0.1461272231644846,0.002168620026211193,0.052850213018351855,0.002168620026211193,56.659420081704916,False,5
url_unique,label-flip,4,roc_auc,0.9935303437680046,0.9887019076883682,0.0005552545301773628,-0.004828436079636389,0.0005552545301773628,-0.4859877818451268,False,5
url_unique,label-flip,4,accuracy,0.965,0.9445999999999998,0.002653299832284322,-0.02040000000000002,0.002653299832284322,-2.113989637305701,False,5
url_unique,label-flip,4,balanced_accuracy,0.9649750336086038,0.9441665066256961,0.002658788728981391,-0.020808526982907603,0.002658788728981391,-2.156379829340496,False,5
url_unique,label-flip,4,mcc,0.9299816952293017,0.8903217920973308,0.005288769148478067,-0.039659903131970944,0.005288769148478067,-4.264589651110517,False,5
url_unique,label-flip,16,ce,0.09327701014613272,0.29619026556839917,0.004257666650607143,0.2029132554222665,0.004257666650607143,217.5383356567409,False,5
