
======================================================================================================================
DEPLOYED PATH (ordinary fit + predict_proba -- what a user sees)
======================================================================================================================

TABLE 1 -- one poisoned row: budget and constraint sweep
                model     dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new  loss%  acc_old  acc_new  acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new    mcc%  auc_old  auc_new  auc%  moved  ofcells
  TabPFNv2/simple/ne1  url_unique  5000  1000     1   50  none     10    0.0834    0.0996  +19.3   0.9720   0.9750  +0.3    0.9721    0.9751   +0.3   0.9440   0.9500    +0.6   0.9948   0.9928  -0.2     62       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     1   50  none    100    0.0834    0.1655  +98.3   0.9720   0.9380  -3.5    0.9721    0.9387   -3.4   0.9440   0.8796    -6.8   0.9948   0.9890  -0.6     62       63
  TabPFNv2/simple/ne1        wids  5000  1000     1  0.5  full     10    0.2108    0.2114   +0.3   0.9260   0.9270  +0.1    0.6490    0.6545   +0.9   0.4351   0.4460    +2.5   0.8759   0.8749  -0.1     88      108
  TabPFNv2/simple/ne1        wids  5000  1000     1  0.5  none     10    0.2108    0.2115   +0.4   0.9260   0.9270  +0.1    0.6490    0.6545   +0.9   0.4351   0.4460    +2.5   0.8759   0.8748  -0.1    106      108
  TabPFNv2/simple/ne1        wids  5000  1000     1    5  none     10    0.2108    0.2143   +1.7   0.9260   0.9280  +0.2    0.6490    0.6501   +0.2   0.4351   0.4492    +3.2   0.8759   0.8703  -0.6    106      108
  TabPFNv2/simple/ne1        wids  5000  1000     1   50  none     10    0.2108    0.2235   +6.0   0.9260   0.9250  -0.1    0.6490    0.6384   -1.6   0.4351   0.4197    -3.5   0.8759   0.8675  -1.0    106      108
  TabPFNv2/simple/ne1        wids  5000  1000     1   50  none    100    0.2108    0.2331  +10.6   0.9260   0.9170  -1.0    0.6490    0.6140   -5.4   0.4351   0.3456   -20.6   0.8759   0.8617  -1.6    106      108

TABLE 2 -- lcld_v2: poisoned-row ablation (100 iterations, eps 0.5)
                model  dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new  loss%  acc_old  acc_new  acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new    mcc%  auc_old  auc_new  auc%  moved  ofcells
  -------------------  -------  ----  ----  ----  ---  ----  -----  --------  --------  -----  -------  -------  ----  --------  --------  -----  -------  -------  ------  -------  -------  ----  -----  -------
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     1  0.5  full    100    0.4499    0.4514   +0.3   0.8040   0.8030  -0.1    0.5255    0.5230   -0.5   0.1300   0.1195   ~-8.1   0.7224   0.7219  -0.1     13       28
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     2  0.5  full    100    0.4499    0.4517   +0.4   0.8040   0.8040  +0.0    0.5255    0.5236   -0.4   0.1300   0.1253   ~-3.7   0.7224   0.7216  -0.1     26       56
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     4  0.5  full    100    0.4499    0.4522   +0.5   0.8040   0.8030  -0.1    0.5255    0.5230   -0.5   0.1300   0.1195   ~-8.1   0.7224   0.7213  -0.2     49      112
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     8  0.5  full    100    0.4499    0.4546   +1.0   0.8040   0.8050  +0.1    0.5255    0.5242   -0.2   0.1300   0.1314   ~+1.0   0.7224   0.7179  -0.6     98      224
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    16  0.5  full    100    0.4499    0.4577   +1.7   0.8040   0.8040  +0.0    0.5255    0.5236   -0.4   0.1300   0.1253   ~-3.7   0.7224   0.7145  -1.1    203      448
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    32  0.5  full    100    0.4499    0.4587   +1.9   0.8040   0.8040  +0.0    0.5255    0.5236   -0.4   0.1300   0.1253   ~-3.7   0.7224   0.7125  -1.4    405      896
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    64  0.5  full    100    0.4499    0.4692   +4.3   0.8040   0.8000  -0.5    0.5255    0.5135   -2.3   0.1300   0.0784  ~-39.7   0.7224   0.7118  -1.5    797     1792
  TabPFNv2/simple/ne1  lcld_v2  5000  1000   128  0.5  full    100    0.4499    0.4675   +3.9   0.8040   0.8020  -0.2    0.5255    0.5243   -0.2   0.1300   0.1192   ~-8.4   0.7224   0.7092  -1.8   1604     3584
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     1  0.5  none    100    0.4499    0.4513   +0.3   0.8040   0.8030  -0.1    0.5255    0.5230   -0.5   0.1300   0.1195   ~-8.1   0.7224   0.7222  -0.0     28       28
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     2  0.5  none    100    0.4499    0.4516   +0.4   0.8040   0.8030  -0.1    0.5255    0.5230   -0.5   0.1300   0.1195   ~-8.1   0.7224   0.7217  -0.1     56       56
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     4  0.5  none    100    0.4499    0.4527   +0.6   0.8040   0.8020  -0.2    0.5255    0.5204   -1.0   0.1300   0.1085  ~-16.6   0.7224   0.7206  -0.3    112      112
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     8  0.5  none    100    0.4499    0.4563   +1.4   0.8040   0.8050  +0.1    0.5255    0.5242   -0.2   0.1300   0.1314   ~+1.0   0.7224   0.7166  -0.8    224      224
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    16  0.5  none    100    0.4499    0.4597   +2.2   0.8040   0.8070  +0.4    0.5255    0.5255   -0.0   0.1300   0.1447  ~+11.3   0.7224   0.7099  -1.7    448      448
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    32  0.5  none    100    0.4499    0.4855   +7.9   0.8040   0.8030  -0.1    0.5255    0.5172   -1.6   0.1300   0.1031  ~-20.7   0.7224   0.6964  -3.6    896      896
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    64  0.5  none    100    0.4499    0.5216  +15.9   0.8040   0.8030  -0.1    0.5255    0.5306   +1.0   0.1300   0.1385   ~+6.5   0.7224   0.6757  -6.5   1792     1792
  TabPFNv2/simple/ne1  lcld_v2  5000  1000   128  0.5  none    100    0.4499    0.5508  +22.4   0.8040   0.8020  -0.2    0.5255    0.5224   -0.6   0.1300   0.1139  ~-12.4   0.7224   0.6861  -5.0   3584     3584

TABLE 3 -- url_unique: poisoned-row ablation (100 iterations, eps 0.5)
                model     dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new    loss%  acc_old  acc_new   acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new   mcc%  auc_old  auc_new  auc%  moved  ofcells
  -------------------  ----------  ----  ----  ----  ---  ----  -----  --------  --------  -------  -------  -------  -----  --------  --------  -----  -------  -------  -----  -------  -------  ----  -----  -------
  TabPFNv2/simple/ne1  url_unique  5000  1000     1  0.5  full    100    0.0834    0.0841     +0.8   0.9720   0.9710   -0.1    0.9721    0.9711   -0.1   0.9440   0.9420   -0.2   0.9948   0.9945  -0.0     31       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     2  0.5  full    100    0.0834    0.0870     +4.3   0.9720   0.9710   -0.1    0.9721    0.9711   -0.1   0.9440   0.9421   -0.2   0.9948   0.9942  -0.1     64      126
