path,model,dataset,ctx,test,rows,eps,cons,iters,loss_old,loss_new,loss_pct,acc_old,acc_new,acc_pct,bacc_old,bacc_new,bacc_pct,mcc_old,mcc_new,mcc_pct,auc_old,auc_new,auc_pct,cells_moved,cells_total,pct_ctx,run
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,128,0.5,none,100,0.44870463013648987,0.5507509112358093,22.74241767201697,0.802,0.802,0.0,0.5185313955914053,0.5223622077109318,0.738781133041583,0.10280826148961943,0.11393659759342702,10.824359776700652,0.7243142783091326,0.6861389080289018,-5.270553325187644,3584,3584,2.56,lcld_v2/abl_rows128_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,128,0.5,none,100,0.44993922114372253,0.5507503747940063,22.405504768850115,0.804,0.802,-0.24875621890547284,0.52552,0.52236,-0.6013091794793616,0.13004,0.11394,-12.380805905875109,0.72244,0.68614,-5.024638724323127,3584,3584,2.56,lcld_v2/abl_rows128_none_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,full,10,0.44870463013648987,0.44853904843330383,-0.036902160589621605,0.802,0.804,0.24937655860349148,0.5185313955914053,0.5197767256038586,0.24016482377753764,0.10280826148961943,0.11522957632845009,12.082020120615349,0.7243142783091326,0.7251992844093532,0.12218537266538058,13,28,0.02,lcld_v2/p1_full
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,full,10,0.44993922114372253,0.45075422525405884,0.18113648956065773,0.804,0.804,0.0,0.52552,0.52361,-0.3634495356979691,0.13004,0.12527,-3.6681021224238672,0.72244,0.72155,-0.12319362161562848,13,28,0.02,lcld_v2/p1_full
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,none,10,0.44870463013648987,0.45023760199546814,0.3416438690440886,0.802,0.807,0.6234413965087288,0.5185313955914053,0.5235601266823018,0.9698026259646356,0.10280826148961943,0.14096344543798764,37.11295512201687,0.7243142783091326,0.7204265729403062,-0.536742887065825,28,28,0.02,lcld_v2/p1_none
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,none,10,0.44993922114372253,0.4509696066379547,0.22900548469924234,0.804,0.803,-0.12437810945273642,0.52552,0.52298,-0.48333079616379715,0.13004,0.11946,-8.135958166717927,0.72244,0.72249,0.0069209899784057494,28,28,0.02,lcld_v2/p1_none
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,5.0,none,10,0.44870463013648987,0.44921693205833435,0.11417353141389407,0.802,0.809,0.8728179551122203,0.5185313955914053,0.5267208627545182,1.5793580162629433,0.10280826148961943,0.15987455966363665,55.50750236135373,0.7243142783091326,0.7220764771700035,-0.3089544423110368,28,28,0.02,lcld_v2/p1_none_eps5
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,5.0,none,10,0.44993922114372253,0.45055532455444336,0.13693036342880305,0.804,0.81,0.7462686567164185,0.52552,0.53117,1.075125589891925,0.13004,0.17295,32.997539218701945,0.72244,0.72101,-0.19794031338241672,28,28,0.02,lcld_v2/p1_none_eps5
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,50.0,none,10,0.44870463013648987,0.45066723227500916,0.437392887593402,0.802,0.807,0.6234413965087288,0.5185313955914053,0.5235601266823018,0.9698026259646356,0.10280826148961943,0.14096344543798764,37.11295512201687,0.7243142783091326,0.7191622785114197,-0.7112934194449401,28,28,0.02,lcld_v2/p1_none_eps50
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,50.0,none,10,0.44993922114372253,0.45215821266174316,0.4931758365896769,0.804,0.803,-0.12437810945273642,0.52552,0.52107,-0.8467803318617663,0.13004,0.11426,-12.134727776068894,0.72244,0.7167,-0.7945296495210631,28,28,0.02,lcld_v2/p1_none_eps50
